Launch Date and Time (UTC),Launch Date Only (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Nation of Ownership,Official Payload Name,Manufacturer's Payload Name,Inclination degrees,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,LV S/N,Site,Ref,International Designator,Decay Date,Orbital Period minutes,Apogee Altitude kilometers,Perigee Altitude kilometers,Radar Cross Section meters2
1992 Dec  2 0157:00,12/2/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M-PVB,S,CIS,Molniya-3,Molniya-3 No. 56,63.1,1992-085A,1992-085,S22255,22255,78023  -607,NIIP-53  LC43/3,NK9305-11,1992-085A,11/8/2008,90.3,509,71,10.9312
1992 Dec  2 1324:00,12/2/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,US,Discovery (STS-53),OV-103,57,1992-086A,1992-086,S22259,22259,STS-53,KSC      LC39A,STSJSC,1992-086A,12/9/1992,90.9,321,317,26.5
1992 Dec  9 1125:00,12/9/1992,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U-PVB,S,CIS,Kosmos-2223,Neman,64.6,1992-087A,1992-087,S22260,22260,76032  -495,GIK-5    LC1,NK9305-11,1992-087A,12/16/1993,89.6,263,243,23.4291
1992 Dec 17 1245:00,12/17/1992,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2,S,CIS,Kosmos-2224,Oko-1 No. 7121,13.8,1992-088A,1992-088,S22269,22269,357-02,GIK-5    LC200/39,NK9810-25,1992-088A,,1436,35807,35761,7.9432
1992 Dec 18 2216:00,12/18/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 7925,S,US,GPS IIA-8,Navstar GPS SVN 29,55.5,1992-089A,1992-089,S22275,22275,D217,CC       LC17B,Wire,1992-089A,,765,21449,21207,0.6373
1992 Dec 21 1121,,XICLF,"Xichang Launch Facility, China",28.25,102,Chang Zheng 2E,F,,Optus B2,Optus B2,,1992-090,1992-090,F01145,1145,Y4       (30),XSC      LC2,JCM,1965-012AZ,,,,,
1992 Dec 22 1200:00,12/22/1992,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U-PVB,S,CIS,Kosmos-2225,Don,64.9,1992-091A,1992-091,S22280,22280,76032  -314,GIK-5    LC31,NK9305-11,1992-091A,2/18/1993,89.4,264,228,29.03
1992 Dec 22 1236:00,12/22/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Tsiklon-3,S,CIS,Kosmos-2226,Musson No. 23,73.6,1992-092A,1992-092,S22282,22282,-,NIIP-53  LC32/2,PL39,1992-092A,,116,1524,1479,8.2775
1992 Dec 25 0556?,12/25/1992,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Zenit-2,S,CIS,Kosmos-2227,Tselina-2,71,1992-093A,1992-093,S22284,22284,67033-306,GIK-5    LC45/1,RAEX,1992-093A,,101.9,863,834,6.8681
1992 Dec 25 2007:59,12/25/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Tsiklon-3,S,CIS,Kosmos-2228,Tselina-D,82.5,1992-094A,1992-094,S22286,22286,-,NIIP-53  LC32/2,JCM,1992-094A,,96.9,622,594,5.002
1992 Dec 29 1330:01,12/29/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U-PVB,S,CIS,Kosmos-2229,Bion No. 10,62.8,1992-095A,1992-095,S22300,22300,U 15000-033,NIIP-53  LC43/3,NK96-26-34,1992-095A,1/10/1993,90.3,360,215,13.44
1992 Feb  5,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Zenit-2,F,,-,Tselina-2,,1992-F01,1992-F01,F01141,1141,45082-801/17L,GIK-5    LC45/1,AVMNLJ,1965-012AV,,,,,
1992 Feb 11 0041:02,2/11/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas II,S,US,USA 78,DSCS III B-14,,1992-006A,1992-006,S21873,21873,AC-101,CC       LC36A,patrick.af.mil,1992-006A,,,,,N/A    NEA
1992 Feb 11 0150,2/11/1992,TANSC,"Tanegashima Space Center, Japan",30.4,131,H-1,S,JPN,Fuyo 1,ERS-1,97.6,1992-007A,1992-007,S21867,21867,H-24(F),TNSC     N,WWW-NASDA,1992-007A,12/3/2001,87.4,154,139,10.1673
1992 Feb 17 2205:08,2/17/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,CIS,Kosmos-2180,Parus,82.9,1992-008A,1992-008,S21875,21875,65078-418,NIIP-53  LC133/3,NK9305-11,1992-008A,,104.8,1015,958,2.1814
1992 Feb 23 2229:00,2/23/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 7925,S,US,GPS IIA-3,Navstar GPS SVN 25,55.6,1992-009A,1992-009,S21890,21890,D207,CC       LC17B,Wire,1992-009A,,750.7,21079,20886,4.406
1992 Feb 26 2358:10,2/26/1992,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 44L,S,JPN,Superbird B1,Superbird B1,11.6,1992-010A,1992-010,S21893,21893,V49 L421b,CSG      ELA2,CNES32,1992-010A,,1453.7,36193,36069,7.9433
1992 Jan 21 1500:00,1/21/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U-PVB,S,CIS,Kosmos-2175,Kobal't No. 534,67.1,1992-001A,1992-001,S21844,21844,77053  -985,NIIP-53  LC43/4,NK9305-11,1992-001A,3/20/1992,89.2,301,173,21.85
1992 Jan 22 1452:33,1/22/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,US,Discovery (STS-42),OV-103,57,1992-002A,1992-002,S21846,21846,STS-42,KSC      LC39A,STSJSC,1992-002A,1/30/1992,90.4,299,286,N/A
1992 Jan 24 0118:01,1/24/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,CIS,Kosmos-2176,Oko,62,1992-003A,1992-003,S21847,21847,78023  -608,NIIP-53  LC43/3,NK9715-48,1992-003A,1/17/2012,91.4,615,69,14.2905
1992 Jan 25 0750:17,1/25/1992,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U2,S,CIS,Progress M-11,Progress 7K-TGM No. 212,51.6,1992-004A,1992-004,S21851,21851,R 15000-058,GIK-5    LC1,NK9807-46,1992-004A,3/13/1992,92.4,404,383,0.31
1992 Jan 29 2219:12,1/29/1992,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2,S,CIS,Kosmos-2177,Uragan No. 68L,64.1,1992-005A,1992-005,S21853,21853,372-02,GIK-5    LC81/23,NK9810-25,1992-005A,,675.7,19154,19105,2.3274
1992 Jul  1 2016:22,7/1/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,CIS,Kosmos-2195,Parus,82.9,1992-036A,1992-036,S22006,22006,65072-427,NIIP-53  LC133/3,NK9305-11,1992-036A,,104.7,1010,954,2.399
1992 Jul  2 2154:01,7/2/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas II,S,US,USA 82,DSCS III B-12,,1992-037A,1992-037,S22009,22009,AC-103,CC       LC36A,patrick.af.mil,1992-037A,,,,,N/A    NEA
1992 Jul  3 1419,7/3/1992,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout G-1,S,US,SAMPEX,SAMPEX,81.6,1992-038A,1992-038,S22012,22012,S215C,V        SLC5,AWST920713-19,1992-038A,11/13/2012,87.2,140,132,0.7634
1992 Jul  7 0920:01,7/7/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 7925,S,US,GPS IIA-5,Navstar GPS SVN 26,55.7,1992-039A,1992-039,S22014,22014,D211,CC       LC17B,Wire,1992-039A,,718,20750,19615,2.5022
1992 Jul  8 0953:14,7/8/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M-PVB,S,CIS,Kosmos-2196,Oko,62.8,1992-040A,1992-040,S22017,22017,77053  -605,NIIP-53  LC43/3,NK9715-48,1992-040A,,718.3,39594,789,12.2138
1992 Jul  9 2242:19,7/9/1992,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 44L,S,IND,Insat 2A,Insat 2A,13.9,1992-041A,1992-041,S22027,22027,V51 L423c,CSG      ELA2,CNES32,1992-041A,,1437.8,35844,35794,1.9952
1992 Jul 13 1741:40,7/13/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Tsiklon-3,S,CIS,Kosmos-2197,Strela-3,82.6,1992-042A,1992-042,S22034,22034,-,NIIP-53  LC32/1,JCM,1992-042A,,113.9,1415,1397,1.0996
1992 Jul 14 2202:00,7/14/1992,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2,S,CIS,Gorizont,Gorizont No. 37L,14.6,1992-043A,1992-043,S22041,22041,371-02,GIK-5    LC81/23,NK9602-24,1992-043A,,1451,36222,35934,7.9433
1992 Jul 24 1426:00,7/24/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 6925,S,JPN,Geotail,Geotail,7.5,1992-044A,1992-044,S22049,22049,D212,CC       LC17A,Wire,1992-044A,,7333.5,185444,51872,3.5
1992 Jul 24 1940:00,7/24/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U-PVB,S,CIS,Kosmos-2203,Kobal't No. 543,62.8,1992-045A,1992-045,S22052,22052,78012  -989,NIIP-53  LC43/3,NK9305-11,1992-045A,9/22/1992,89.3,299,177,19.21
1992 Jul 27 0608:42,7/27/1992,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U2,S,CIS,Soyuz TM-15,Soyuz 7K-STM No. 65,51.6,1992-046A,1992-046,S22054,22054,R 15000-053,GIK-5    LC1,NK0204-71,1992-046A,2/1/1993,92.4,394,391,14.6
1992 Jul 30 0159:01,7/30/1992,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2,S,CIS,Kosmos-2204,Uragan No. 56L,64.2,1992-047A,1992-047,S22056,22056,376-01,GIK-5    LC81/23,NK9810-25,1992-047A,,675.7,19154,19105,3.3237
1992 Jul 30 1100:00,7/30/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U-PVB,S,CIS,Kosmos-2207,Oblik No. 830,82.3,1992-048A,1992-048,S22062,22062,76032  -832,NIIP-53  LC43/4,NK9305-11,1992-048A,8/13/1992,90.4,354,237,5.96
1992 Jul 31 1356:48,7/31/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,US,Atlantis (STS-46),OV-104,28.5,1992-049A,1992-049,S22064,22064,STS-46,KSC      LC39B,STSJSC,1992-049A,8/8/1992,89.1,233,226,1
1992 Jun  3 0050:30,6/3/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,CIS,Kosmos-2187,Strela-1M,74,1992-030A,1992-030,S21976,21976,53742-114,NIIP-53  LC133/3,NK9305-11,1992-030A,,114.7,1480,1402,0.6815
1992 Jun  7 1640:00,6/7/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 6920-10,S,US,EUVE,EUVE,28.4,1992-031A,1992-031,S21987,21987,D210,CC       LC17A,Wire,1992-031A,1/31/2002,87.3,141,137,18.7856
1992 Jun 10 0000,6/10/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas IIA,S,NETH,INTELSAT K,INTELSAT K,11,1992-032A,1992-032,S21989,21989,AC-105,CC       LC36B,Wire,1992-032A,,1481.8,37037,36315,5.8134
1992 Jun 23 0800:00,6/23/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U-PVB,S,CIS,Resurs-F,Resurs-F1 14F43 No. 55,82.3,1992-033A,1992-033,S21998,21998,78012  -154,NIIP-53  LC43/3,NK95-20-29,1992-033A,7/9/1992,89,228,224,2.14
1992 Jun 25 1612:22,6/25/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,US,Columbia (STS-50),OV-102,28.5,1992-034A,1992-034,S22000,22000,STS-50,KSC      LC39A,STSJSC,1992-034A,7/9/1992,90,301,245,66.08
1992 Jun 30 1643:13,6/30/1992,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U2,S,CIS,Progress M-13,Progress 7K-TGM No. 214,51.6,1992-035A,1992-035,S22004,22004,U 15000-062,GIK-5    LC31,NK9807-46,1992-035A,7/24/1992,92.7,410,406,9.8
1992 Mar  4 0427:00,3/4/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,CIS,Molniya-1,Molniya-1T No. 75,62.1,1992-011A,1992-011,S21897,21897,76047  -567,NIIP-53  LC43/4,NK9305-11,1992-011A,7/1/2007,92,675,72,3.981
1992 Mar  9 2235:59,3/9/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,CIS,Kosmos-2181,Tsikada,82.9,1992-012A,1992-012,S21902,21902,53778-423,NIIP-53  LC132/1,NK9305-11,1992-012A,,104.9,1011,971,4.073
1992 Mar 14 0000,3/14/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas I,S,US,Galaxy 5,Galaxy V,8.8,1992-013A,1992-013,S21906,21906,AC-72,CC       LC36B,Wire,1992-013A,,1450.3,36128,36001,6.8904
1992 Mar 17 1054:30,3/17/1992,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U2,S,CIS,Soyuz TM-14,Soyuz 7K-STM No. 64,51.6,1992-014A,1992-014,S21908,21908,R 15000-056,GIK-5    LC1,NK0204-71,1992-014A,8/10/1992,92.7,410,405,0.31
1992 Mar 24 1313:39,3/24/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,US,Atlantis (STS-45),OV-104,57,1992-015A,1992-015,S21915,21915,STS-45,KSC      LC39A,STSJSC,1992-015A,4/2/1992,90.3,293,283,33.15
1992 May  7 2340:00,5/7/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,US,Endeavour (STS-49),OV-105,28.3,1992-026A,1992-026,S21963,21963,STS-49,KSC      LC39B,STSJSC,1992-026A,5/16/1992,91.6,361,344,26.5
1992 May 14 0040:00,5/14/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 7925,S,INDO,Palapa B4,Palapa B4,8.7,1992-027A,1992-027,S21964,21964,D209,CC       LC17B,Wire,1992-027A,,1440.9,35888,35874,12.5892
1992 May 20 0030,5/20/1992,SRILR,"Satish Dhawan Space Centre, India",13.9,80.4,ASLV,S,IND,SROSS-C,SROSS-C,46,1992-028A,1992-028,S21968,21968,ASLV-D3,SHAR     SLV,JCM,1992-028A,7/14/1992,87.5,160,138,0.5946
1992 May 28 1909:59,5/28/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U-PVB,S,CIS,Kosmos-2186,Kobal't No. 540,62.8,1992-029A,1992-029,S21973,21973,78023  -986,NIIP-53  LC16/2,NK9305-11,1992-029A,7/24/1992,88.7,256,165,27.38
1992 Nov 15 2145:01,11/15/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U-PVB,S,CIS,Resurs-500,Resurs-500 No. 1,82.6,1992-075A,1992-075,S22217,22217,37,NIIP-53  LC16/2,NK95-20-29,1992-075A,11/22/1992,89.4,303,187,8.61
1992 Nov 17 0747?,11/17/1992,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Zenit-2,S,CIS,Kosmos-2219,Tselina-2,71.1,1992-076A,1992-076,S22219,22219,67092-802,GIK-5    LC45/1,RAEX,1992-076A,,101.9,859,835,7.2037
1992 Nov 20 1529:59,11/20/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U-PVB,S,CIS,Kosmos-2220,Kobal't No. 544,67.1,1992-077A,1992-077,S22226,22226,78012  -990,NIIP-53  LC43/4,NK9305-11,1992-077A,1/18/1993,88.7,266,158,34.59
1992 Nov 21 1345,11/21/1992,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout G-1,S,US,MSTI-1,MSTI-1,96.8,1992-078A,1992-078,S22229,22229,S210C,V        SLC5,Wire,1992-078A,7/18/1993,87.4,149,138,0.84
1992 Nov 22 2354:00,11/22/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 7925,S,US,GPS IIA-7,Navstar GPS SVN 32,55.6,1992-079A,1992-079,S22231,22231,D216,CC       LC17A,SN921130-6,1992-079A,,718,20405,19960,3.981
1992 Nov 24 0409:59,11/24/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Tsiklon-3,S,CIS,Kosmos-2221,Tselina-D,82.5,1992-080A,1992-080,S22236,22236,-,NIIP-53  LC32/2?,JCM,1992-080A,,96.9,621,595,7.4461
1992 Nov 25 1218:54,11/25/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M-PVB,S,CIS,Kosmos-2222,Oko,64.5,1992-081A,1992-081,S22238,22238,77059  -565,NIIP-53  LC43/3,NK9305-11,1992-081A,,717.7,38189,2162,13.3001
1992 Nov 27 1310:00,11/27/1992,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2,S,CIS,Gorizont,Gorizont No. 38L,14.5,1992-082A,1992-082,S22245,22245,364-01,GIK-5    LC81/23,NK9602-24,1992-082A,,1436.9,35848,35757,5.0119
1992 Nov 28 2134,11/28/1992,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan 404A,S,US,USA 86,Enhanced CRYSTAL 2104,,1992-083A,1992-083,S22251,22251,K-3    (45J-1),V        SLC4E,AWST921207-19,1992-083A,,,,,N/A    NEA
1992 Oct  6 0620:05,10/6/1992,JSC,"Jiuquan Satellite Launch Center, China",40.6,99.9,Chang Zheng 2C,S,SWED,Freja,Freja,63,1992-064A,1992-064,S22161,22161,Y10      (29),JQ       LA2B,Grahn-pc,1992-064A,,108.3,1701,591,1.9022
1992 Oct  8 1900:00,10/8/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U-PVB,S,CIS,Foton,Foton 34KS No. 8L,62.8,1992-065A,1992-065,S22173,22173,623,NIIP-53  LC43/4,AVMP,1992-065A,10/24/1992,90,339,214,6.21
1992 Oct 12 0947:00,10/12/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 7925,S,GREC,Kopernikus 3,DFS 3,11.2,1992-066A,1992-066,S22175,22175,D215,CC       LC17B,SN921019-11,1992-066A,,1443.8,35948,35928,4.0816
1992 Oct 14 1958:00,10/14/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M-PVB,S,CIS,Molniya-3,Molniya-3 No. 50,63.1,1992-067A,1992-067,S22178,22178,78012  -641,NIIP-53  LC43/3,NK9305-11,1992-067A,,653.3,36015,1107,14.6168
1992 Oct 20 1258:12,10/20/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Tsiklon-3,S,CIS,Kosmos-2211,Strela-3,82.6,1992-068A,1992-068,S22182,22182,-,NIIP-53  LC32/1,JCM,1992-068A,,113.9,1413,1400,1.0799
1992 Oct 21 1021:22,10/21/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M-PVB,S,CIS,Kosmos-2217,Oko,61.8,1992-069A,1992-069,S22189,22189,77053  -604,NIIP-53  LC16/2,NK9715-48,1992-069A,11/6/2010,94.9,953,77,7.9006
1992 Oct 22 1709:40,10/22/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,US,Columbia (STS-52),OV-102,28.5,1992-070A,1992-070,S22194,22194,STS-52,KSC      LC39B,STSJSC,1992-070A,11/1/1992,88.7,215,206,12.5
1992 Oct 27 1719:41,10/27/1992,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U2,S,CIS,Progress M-15,Progress 7K-TGM No. 215,51.6,1992-071A,1992-071,S22203,22203,U 15000-061,GIK-5    LC31,NK9807-46,1992-071A,2/7/1993,92.4,393,389,12.7
1992 Oct 28 0015:00,10/28/1992,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 42P,S,US,Galaxy 7,Galaxy VII,12,1992-072A,1992-072,S22205,22205,V54 L426a,CSG      ELA2,CNES32,1992-072A,,1444.4,35982,35915,5.0929
1992 Oct 29 1040:33,10/29/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,CIS,Kosmos-2218,Parus,82.9,1992-073A,1992-073,S22207,22207,65078-424,NIIP-53  LC133/3,NK9305-11,1992-073A,,104.9,1014,965,2.1623
1992 Oct 30 1459:00,10/30/1992,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2,S,CIS,Ekran-M,Ekran-M No. 15L,14.5,1992-074A,1992-074,S22210,22210,372-01,GIK-5    LC81/23,NK9810-25,1992-074A,,1436,35811,35758,6.3095
1992 Sep  9 0857:00,9/9/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 7925,S,US,GPS IIA-6,Navstar GPS SVN 27,55.9,1992-058A,1992-058,S22108,22108,D214,CC       LC17A,AWST920914-17,1992-058A,,718,20786,19580,2.3994
1992 Sep 10 1801:18,9/10/1992,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2,S,CIS,Kosmos-2209,Oko-S F5,14.6,1992-059A,1992-059,S22112,22112,363-01,GIK-5    LC81/23,NK9810-25,1992-059A,,1436,35811,35758,5.0207
1992 Sep 10 2304:00,9/10/1992,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 44LP,S,SPN,Hispasat 1A,Hispasat 1A,10.7,1992-060A,1992-060,S22116,22116,V53 L425a,CSG      ELA2,CNES32,1992-060A,,1449.9,36070,36041,6.7263
1992 Sep 12 1423:00,9/12/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,US,Endeavour (STS-47),OV-105,57,1992-061A,1992-061,S22120,22120,STS-47,KSC      LC39B,STSJSC,1992-061A,9/20/1992,90.6,308,297,3.08
1992 Sep 22 1610:00,9/22/1992,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U-PVB,S,CIS,Kosmos-2210,Kobal't No. 533,67.1,1992-062A,1992-062,S22133,22133,78023  -987,NIIP-53  LC16/2,NK9305-11,1992-062A,11/20/1992,89.7,343,176,19.19
1992 Sep 25 1705:01,9/25/1992,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Commercial Titan 3,S,US,Mars Observer,Mars Observer,,1992-063A,1992-063,S22136,22136,CT-4,CC       LC40,Wire,1992-063A,,,,,N/A    MA0
1993 Apr  1 1857:26,4/1/1993,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,CIS,Kosmos-2239,Parus,82.9,1993-020A,1993-020,S22590,22590,47178-431,GNIIPV   LC133/3,NK9317-20,1993-020A,,104.7,998,963,2.0277
1993 Apr  2 1430:01,4/2/1993,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U-PVB,S,CIS,Kosmos-2240,Kobal't No. 541,62.8,1993-021A,1993-021,S22592,22592,78012  -991,GNIIPV   LC16/2,NK9317-20,1993-021A,6/7/1993,89.4,310,175,31.84
1993 Apr  6 1907:27,4/6/1993,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,CIS,Kosmos-2241,Oko,61.4,1993-022A,1993-022,S22594,22594,78012  -644,GNIIPV   LC43/4,NK9317-20,1993-022A,,325.6,18470,132,10.5582
1993 Apr  8 0529:00,4/8/1993,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,US,Discovery (STS-56),OV-103,57,1993-023A,1993-023,S22621,22621,STS-56,KSC      LC39B,STSJSC,1993-023A,4/17/1993,90.2,293,280,N/A
1993 Apr 16 0749:00,4/16/1993,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Tsiklon-3,S,CIS,Kosmos-2242,Tselina-R,82.5,1993-024A,1993-024,S22626,22626,-,GNIIPV   LC32/1,AVMP,1993-024A,,96.9,621,595,8.7429
1993 Apr 21 0023:00,4/21/1993,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,CIS,Molniya-3,Molniya-3 No. 57,63.4,1993-025A,1993-025,S22633,22633,76032  -646,GNIIPV   LC43/4,NK9317-20,1993-025A,1/25/2004,91.8,636,89,9.8529
1993 Apr 25 1356,4/25/1993,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Pegasus,S,US,Alexis,Alexis,,1993-026A,1993-026,S22638,22638,004/F4,"NB-52 008,EAFB RW04/22  -> PAWA",Wire,1993-026A,,,,,N/A    NEA
1993 Apr 26 1450:00,4/26/1993,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,US,Columbia (STS-55),OV-102,28.5,1993-027A,1993-027,S22640,22640,STS-55,KSC      LC39A,STSJSC,1993-027A,5/6/1993,90.4,306,285,94.2
1993 Apr 27 1035:00,4/27/1993,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U-PVB,S,CIS,Kosmos-2243,Kometa No. 16,70.3,1993-028A,1993-028,S22641,22641,76047  -737,GIK-5    LC31,NK9317-20,1993-028A,5/6/1993,87.6,162,150,12.96
1993 Apr 28 0339:20,4/28/1993,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2,S,CIS,Kosmos-2244,US-PM,65,1993-029A,1993-029,S22643,22643,45042-304,GIK-5    LC90/20,NK9317-20,1993-029A,3/18/1995,88.2,206,162,22.3363
1993 Aug  2 1959,,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan 403A,F,,SLDCOM 3,SLDCOM 3,,1993-F02,1993-F02,F01153,1153,K-11   (45F-9),V        SLC4E,Wire,1965-012BH,,,,,
1993 Aug  4 0052:00,8/4/1993,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,CIS,Molniya-3,Molniya-3 No. 58,62.1,1993-049A,1993-049,S22729,22729,76024  -659,GNIIPV   LC43/3,NK9815-26,1993-049A,12/31/2013,89.1,390,72,14.3099
1993 Aug  9 1002,8/9/1993,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas E,S,US,NOAA 13,NOAA I,98.7,1993-050A,1993-050,S22739,22739,34E,V        SLC3W,Wire,1993-050A,,101.9,857,844,4.8905
1993 Aug 10 1453:45,8/10/1993,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,CIS,Kosmos-2261,Oko,61.1,1993-051A,1993-051,S22741,22741,78023  -610,GNIIPV   LC16/2,NK9715-48,1993-051A,12/31/2012,88.9,387,56,10.0237
