Launch Date and Time (UTC),Launch Date Only (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Nation of Ownership,Official Payload Name,Manufacturer's Payload Name,Inclination degrees,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,LV S/N,Site,Ref,International Designator,Decay Date,Orbital Period minutes,Apogee Altitude kilometers,Perigee Altitude kilometers,Radar Cross Section meters2
1971 Aug  3 1100:00,,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,F,,Kosmos,DS-P1-Yu No. 33,,1971-F08,1971-F08,F00634,634,-,NIIP-53  LC133/3,AVMDS,1963-031A,,,,,
1971 Aug  5 1000?,8/5/1971,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,CIS,Kosmos-432,Zenit-4M,51.8,1971-066A,1971-066,S05379,5379,7801422-242,NIIP-5   LC31,RAEX,1971-066A,8/18/1971,88.9,256,187,N/A
1971 Aug  7 0011,8/7/1971,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas F,S,US,LOADS 2,OAR-901,91.9,1971-067C,1971-067,S05382,5382,76F,V        BMRSA2,UPI,1971-067C,1/31/1972,87.3,180,97,N/A
1971 Aug  8 2345?,8/8/1971,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,R-36O 8K69M,S,CIS,Kosmos-433,OGCh,49.4,1971-068A,1971-068,S05402,5402,V 22501-07,NIIP-5   LC191/66,RAEX,1971-068A,8/9/1971,88.6,219,177,N/A
1971 Aug 12 0530?,8/12/1971,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511L,S,CIS,Kosmos-434,T2K No. 3,51.4,1971-069A,1971-069,S05407,5407,Yu15000-017,NIIP-5   LC31,RAEX,1971-069A,8/22/1981,87.8,225,110,12.9893
1971 Aug 12 1530,8/12/1971,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan 24B,S,US,OPS 8607,GAMBIT-3 Mission 4332,111,1971-070A,1971-070,S05409,5409,24B-1 (3B-32),V        SLC4W,LR710911,1971-070A,9/3/1971,89.5,365,132,N/A
1971 Aug 16 1839:00,8/16/1971,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout B-1,S,FR,Eole,Eole,50.1,1971-071A,1971-071,S05435,5435,S180C,WI       LA3A,LAAFB,1971-071A,,99,790,632,1.309
1971 Aug 19,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,F,,[Kosmos],Zenit-4M,,1971-F09,1971-F09,F00636,636,Kh76001-040,NIIP-5   LC31,AVMNLJ,1963-034A,,,,,
1971 Aug 27 1054:56,8/27/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,CIS,Kosmos-435,DS-P1-Yu No. 41,70.9,1971-072A,1971-072,S05441,5441,-,NIIP-53  LC133/3,AVMDS,1971-072A,1/28/1972,87.5,152,152,N/A
1971 Dec  2 0825:14,12/2/1971,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,CIS,Interkosmos-5,DS-U2-IK No. 2,48.4,1971-104A,1971-104,S05641,5641,-,GTsP-4   LC86/4,AVMDS,1971-104A,4/7/1972,87.5,177,126,N/A
