Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,Manufacturer's Payload Name,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,Site,LV S/N,Ref,International Designator,Tag,Data Mismatch Investigation Results
1967 Jun 20 1615:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 4282,GAMBIT-3 Mission 4306,1967-064A,1967-064,S02858,2858,V        SLC4W,3B-8,GAMHEX-G2,1967-064A,,
1967 Jun 26 0000:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,F,Kosmos,Tselina-O GVM,1967-F07,1967-F07,F00433,433,NIIP-53  LC132/2,-,AVMNLJ,1962-052A,,
1967 Jun 29 2101:44,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Burner 2,S,EGRS IX,Secor Type II S/N 10,1967-065A,1967-065,S02861,2861,V        LE-6,171/BII-3,SAC7383,1967-065A,,
1967 Jun 4 1807:01,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas SLV-3 Agena D,S,OPS 4360,GAMBIT SV 988,1967-055A,1967-055,S02831,2831,V        SLC4E,7128,GDC/BKF67-035,1967-055A,,
1967 Jun 5 0503:00,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,Kosmos-163,DS-U2-MP No. 2,1967-056A,1967-056,S02832,2832,GTsP-4   LC86/1,-,AVMDS,1967-056A,,
1967 Jun 8 1300:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-164,Zenit-2 No. 50,1967-057A,1967-057,S02836,2836,NIIP-53  LC41/1,Ya15001- 04 *(1,NK96-10-65,1967-057A,,
1967 Mar 10 1130:33,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,UR-500K/Blok D,S,Kosmos-146,L-1 No. 2P,1967-021A,1967-021,S02705,2705,NIIP-5   LC81/23,N10722701,NK9810-25,1967-021A,,
1967 Mar 13 1210:23,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92,S,Kosmos-147,Zenit-2 No. 44,1967-022A,1967-022,S02710,2710,NIIP-53  LC41/1,N 15001- 06,NK96-10-65,1967-022A,,
1967 Mar 16 1730:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-148,DS-P1-I No. 2,1967-023A,1967-023,S02712,2712,NIIP-53  LC133/3,-,AVMDS,1967-023A,,
1967 Mar 21 1007:00,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,Kosmos-149,DS-MO No. 1,1967-024A,1967-024,S02714,2714,GTsP-4   LC86/1,-,AVMDS,1967-024A,,
1967 Mar 22 1244:59,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-150,Zenit-4 No. 27,1967-025A,1967-025,S02715,2715,NIIP-53  LC41/1,N 15001- 07,RAE,1967-025A,,
1967 Mar 22 1405:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,R-36O 8K69,F,[Kosmos],OGCh No. 08?,1967-F02,1967-F02,F00418,418,NIIP-5   LC161/35,N 22500 No. 08L,Kosmodrom9904,1961-015ET,,
1967 Mar 23 0130:12,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta E1,S,INTELSAT II F-3,INTELSAT II F-3,1967-026A,1967-026,S02717,2717,CC       LC17B,470/D47,TR-1022,1967-026A,,
1967 Mar 24 1150:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Kosmos 11K65,S,Kosmos-151,Strela-2,1967-027A,1967-027,S02720,2720,NIIP-5   LC41/15,4000-000-06LM,RAEX,1967-027A,,
1967 Mar 25 0659:30,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-152,DS-P1-Yu No. 7,1967-028A,1967-028,S02722,2722,NIIP-53  LC133/3,-,AVMDS,1967-028A,,
1967 Mar 3 0644:58,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,Kosmos-145,DS-U2-M No. 2,1967-019A,1967-019,S02697,2697,GTsP-4   LC86/1,-,AVMDS,1967-019A,,
1967 Mar 30 1854:23,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor SLV-2A Agena D,S,OPS 4779,CORONA J-35,1967-029A,1967-029,S02736,2736,V        SLC3W,501/FTV 1636,VCR,1967-029A,,
1967 Mar 5 2305:00,AFWTR,"Vandenberg Air Force Base, USA",34.4,63.4,Atlas SLV-3,S,SV-5D,SV-5D FV-2,1967-U02,1967-U02,A01131,1131,V        SLC3E,7002,VCR,1965-012AK,,Actually out of Vandy; mismatch error
1967 Mar 8 1612:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta C,S,OSO 3,OSO E1,1967-020A,1967-020,S02703,2703,CC       LC17A,431/D46,TR-1022,1967-020A,,
1967 May 12 1030:01,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8A92,S,Kosmos-157,Zenit-2 No. 49,1967-044A,1967-044,S02781,2781,NIIP-5   LC1,Ya15001- 02,NK96-10-65,1967-044A,,
1967 May 15 1100:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-158,Tsiklon GVM,1967-045A,1967-045,S02801,2801,NIIP-53  LC132/2,-,RAEX,1967-045A,,
1967 May 16 2143:57,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,S,Kosmos-159,E-6LS No. 111,1967-046A,1967-046,S02805,2805,NIIP-5   LC1,N 15001- 58,JBIS53-319,1967-046A,,
1967 May 17 1605:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,R-36O 8K69,S,Kosmos-160,OGCh No. 09?,1967-047A,1967-047,S02806,2806,NIIP-5   LC161/35,Ya22500 No. 09L,Kosmodrom9904,1967-047A,,
1967 May 18 0905:01,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout A,S,NNS O-13,NNS O-13,1967-048A,1967-048,S02807,2807,V        SLC5,S156C,LAAFB,1967-048A,,
1967 May 22 1400:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-161,Zenit-4 No. 31,1967-049A,1967-049,S02812,2812,NIIP-53  LC41/1,Ya15001- 12,RAEX,1967-049A,,
1967 May 22 1830:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas SLV-3 Agena D,S,OPS 4321,GAMBIT SV 987,1967-050A,1967-050,S02813,2813,V        SLC4E,7127,"SR12,529",1967-050A,,
1967 May 24 1405:54,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Delta E1,S,IMP 4,IMP F,1967-051A,1967-051,S02817,2817,V        SLC2E,486/D49,LR670524,1967-051A,,
1967 May 24 2250:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,S,Molniya-1,Molniya-1 11F67 No. 8,1967-052A,1967-052,S02822,2822,NIIP-5   LC1,N 15000- 41,RAEX,1967-052A,,
1967 May 30 0206:00,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout B,F,ESRO 2A,ESRO 2A,1967-F05,1967-F05,F00428,428,V        SLC5,S152C,LAAFB,1962-048D,,
1967 May 31 0930:48,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor SLV-2 Agena D,S,Calsphere IV,NRL PL160,1967-053A,1967-053,S02826,2826,V        SLC2W,443/FTV 2704,VCR,1967-053A,,
1967 May 4 2225:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas SLV-3 Agena D,S,Lunar Orbiter 4,Lunar Orbiter D,1967-041A,1967-041,S02772,2772,CC       LC13,5804 (AA22),NASA-TM-X-3487,1967-041A,Moon,
1967 May 5 1600:01,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout A,S,Ariel 3,UK-3,1967-042A,1967-042,S02773,2773,V        SLC5,S155C,LAAFB,1967-042A,,
1967 May 9 2150:42,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 4696,CORONA J-40,1967-043A,1967-043,S02779,2779,V        SLC1E,508/FTV 1634,VCR,1967-043A,,
1967 Nov 10 1753:08,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Delta E1,S,ESSA 6,TOS D,1967-114A,1967-114,S03035,3035,V        SLC2E,480/D54,TR-1022,1967-114A,,
1967 Nov 2 2131:19,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 0562,CORONA J-41,1967-109A,1967-109,S03024,3024,V        SLC1E,513/FTV 1639,PER,1967-109A,,
1967 Nov 21 1429:48,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-191,DS-P1-Yu No. 9,1967-115A,1967-115,S03043,3043,NIIP-53  LC133/3,-,AVMDS,1967-115A,,
1967 Nov 22 1907:59,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D,F,[Zond-4],L-1 No. 5L,1967-F12,1967-F12,F00453,453,NIIP-5   LC81/24,230-01,NK9810-25,1962-063A,Moon,
1967 Nov 23 1500:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-192,Tsiklon,1967-116A,1967-116,S03047,3047,NIIP-53  LC132/2,-,RAEX,1967-116A,,
1967 Nov 25 1130:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-193,Zenit-2 No. 58,1967-117A,1967-117,S03052,3052,NIIP-53  LC41/1,Ya15002- 04,NK96-10-65,1967-117A,,
1967 Nov 29 0449:00,WOMRA,"Woomera Test Range, Australia",-31.1,136.8,SPARTA,S,WRESAT,WRESAT,1967-118A,1967-118,S03054,3054,WOO      LA8,CC-2029/SV-10,Henderson,1967-118A,,
1967 Nov 3 1120:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-190,Zenit-4 No. 35,1967-110A,1967-110,S03026,3026,NIIP-53  LC41/1,Ya15001- 16,RAEX,1967-110A,,
1967 Nov 5 2337:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas SLV-3 Agena D,S,ATS 3,ATS C,1967-111A,1967-111,S03029,3029,CC       LC12,5103 (AA25),TR-1022,1967-111A,,
1967 Nov 7 0739:01,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas SLV-3C Centaur,S,Surveyor 6,Surveyor SC-6,1967-112A,1967-112,S03031,3031,CC       LC36B,AC-14,TR-1022,1967-112A,Moon,
1967 Nov 9 1200:01,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Saturn V,S,Apollo 4,Apollo CM-017,1967-113A,1967-113,S03032,3032,KSC      LC39A,SA-501,KHR-1,1967-113A,Moon,
1967 Oct 11 0757:56,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Burner 2,S,OPS 1264,DAPP 4417,1967-096A,1967-096,S02980,2980,V        LE-6,268/BII-5,SAC7383,1967-096A,,
1967 Oct 11 1130:04,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-181,Zenit-2 No. 55,1967-097A,1967-097,S02981,2981,NIIP-53  LC41/1,Ya15002- 01,NK96-10-65,1967-097A,,
1967 Oct 16 0800:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-182,Zenit-4 No. 36,1967-098A,1967-098,S02995,2995,NIIP-5   LC31,Ya15001- 17,RAEX,1967-098A,,
1967 Oct 18 1330:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,R-36O 8K69,S,Kosmos-183,OGCh No. 15?,1967-099A,1967-099,S03001,3001,NIIP-5   LC161/35,Ya22500 No. 16L,Kosmodrom9904,1967-099A,,
1967 Oct 18 1558:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta C1,S,OSO 4,OSO D,1967-100A,1967-100,S03000,3000,CC       LC17B,490/D53,TR-1022/TLE,1967-100A,,
1967 Oct 19 1733:00,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout B,S,RAM C-1,RAM C-1,1967-U04,1967-U04,A01257,1257,WI       LA3A,S159C,TN-D-5615,1965-012EZ,,Actually out of Wallops; ID false match
1967 Oct 22 0840:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,S,Molniya-1,Molniya-1 11F67 No. 12,1967-101A,1967-101,S03008,3008,NIIP-5   LC1,Ya15000- 84  L8,RAEX,1967-101A,,
1967 Oct 24 2249:09,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92M,S,Kosmos-184,Meteor 11F614 No. 8,1967-102A,1967-102,S03010,3010,NIIP-53  LC41/1,N 15000- 56,PL-WWW,1967-102A,,
1967 Oct 25 1915:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 4995,GAMBIT-3 Mission 4309,1967-103A,1967-103,S03012,3012,V        SLC4W,3B-11,LR671026,1967-103A,,
1967 Oct 27 0221:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2A,S,Kosmos-185,I2-BM,1967-104A,1967-104,S03013,3013,NIIP-5   LC90/19,N 22500-03L,RAEX,1967-104A,,
1967 Oct 27 0929:59,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511,S,Kosmos-186,Soyuz No. 6,1967-105A,1967-105,S03014,3014,NIIP-5   LC31,U 15000- 05,NK0204-71,1967-105A,,
1967 Oct 28 1315:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,R-36O 8K69,S,Kosmos-187,OGCh No. 16?,1967-106A,1967-106,S03016,3016,NIIP-5   LC162/36,Ya22500 No. 13L,Kosmodrom9904,1967-106A,,
1967 Oct 3 0500:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,S,Molniya-1,Molniya-1 11F67 No. 9,1967-095A,1967-095,S02973,2973,NIIP-5   LC1,Ya15000- 83  L8,RAEX,1967-095A,,
1967 Oct 30 0812:41,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511,S,Kosmos-188,Soyuz No. 5,1967-107A,1967-107,S03020,3020,NIIP-5   LC1,N 15000- 07,NK0204-71,1967-107A,,
1967 Oct 30 1759:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-189,Tselina-O GVM,1967-108A,1967-108,S03021,3021,NIIP-53  LC132/2,-,RAEX,1967-108A,,
1967 Sep 1 1030:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,F,[Kosmos],Zenit-2 No. 51,1967-F09,1967-F09,F00440,440,NIIP-53  LC41/1,Ya15001- 03,NK96-10-65,1962-055B,,
1967 Sep 11 1030:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-175,Zenit-4 No. 37,1967-085A,1967-085,S02939,2939,NIIP-53  LC41/1,Ya15002- 11,RAEX,1967-085A,,
1967 Sep 12 1700:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-176,DS-P1-Yu No. 10,1967-086A,1967-086,S02942,2942,NIIP-53  LC133/3,-,AVMDS,1967-086A,,
1967 Sep 15 1941:15,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 5089,CORONA CR-1,1967-087A,1967-087,S02946,2946,V        SLC1W,512/FTV 1641,PER,1967-087A,,
1967 Sep 16 0606:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-177,Zenit-2 No. 53,1967-088A,1967-088,S02947,2947,NIIP-5   LC1,Ya15001- 06,NK96-10-65,1967-088A,,
1967 Sep 19 1445:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,R-36O 8K69,S,Kosmos-178,OGCh No. 13?,1967-089A,1967-089,S02951,2951,NIIP-5   LC161/35,Ya22500 No. 14L,Kosmodrom9904,1967-089A,,
1967 Sep 19 1837:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 4941,GAMBIT-3 Mission 4308,1967-090A,1967-090,S02952,2952,V        SLC4W,3B-10,GAMHEX-G2,1967-090A,,
1967 Sep 22 1405:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,R-36O 8K69,S,Kosmos-179,OGCh No. 14?,1967-091A,1967-091,S02962,2962,NIIP-5   LC162/36,Ya22500 No. 15L,Kosmodrom9904,1967-091A,,
1967 Sep 25 0825:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout A,S,NNS O-14,NNS O-14,1967-092A,1967-092,S02965,2965,V        SLC5,S157C,VCR,1967-092A,,
1967 Sep 26 1020:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-180,Zenit-2 No. 54,1967-093A,1967-093,S02966,2966,NIIP-53  LC41/1,Ya15001- 07,NK96-10-65,1967-093A,,
1967 Sep 27 0000:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,F,Kosmos,Tsiklon GVM,1967-F10,1967-F10,F00443,443,NIIP-53  LC132/2,-,AVMNLJ,1962-057A,,
1967 Sep 27 2211:54,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D,F,[Zond-4],L-1 No. 4L,1967-F11,1967-F11,F00448,448,NIIP-5   LC81/23,229-01,NK9810-25,1962-061A,Moon,
1967 Sep 28 0045:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta E1,S,INTELSAT II F-4,INTELSAT II F-4,1967-094A,1967-094,S02969,2969,CC       LC17B,442/D52,TR-1022,1967-094A,,
1967 Sep 7 2204:26,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta G,S,Biosatellite 2,Biosatellite B Adapter,1967-083A,1967-083,S02935,2935,CC       LC17B,475/D51,TR-1022,1967-083A,,
1967 Sep 8 0757:01,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas SLV-3C Centaur,S,Surveyor 5,Surveyor 5,1967-084A,1967-084,S02937,2937,CC       LC36B,AC-13,TR-1022,1967-084A,Moon,
1968 Apr 14 1000:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511,S,Kosmos-212,Soyuz No. 8,1968-029A,1968-029,S03183,3183,NIIP-5   LC31,Ya15000- 09,NK0204-71,1968-029A,,
1968 Apr 15 0934:18,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511,S,Kosmos-213,Soyuz No. 7,1968-030A,1968-030,S03193,3193,NIIP-5   LC1,U 15000- 06,NK0204-71,1968-030A,,
1968 Apr 17 1700:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 5105,GAMBIT-3 Mission 4313,1968-031A,1968-031,S03199,3199,V        SLC4W,3B-15,LR680417,1968-031A,,
1968 Apr 18 1030:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-214,Zenit-4 No. 45,1968-032A,1968-032,S03203,3203,NIIP-53  LC41/1,V 15001- 12,RAEX,1968-032A,,
1968 Apr 18 2229:53,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,Kosmos-215,DS-U1-A No. 1,1968-033A,1968-033,S03205,3205,GTsP-4   LC86/4,-,AVMDS,1968-033A,,
1968 Apr 20 1030:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-216,Zenit-2 No. 62,1968-034A,1968-034,S03207,3207,NIIP-5   LC31,V 15001- 01,NK96-10-65,1968-034A,,
1968 Apr 21 0420:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,S,Molniya-1,Molniya-1 11F67 No. 10,1968-035A,1968-035,S03209,3209,NIIP-5   LC1,Ya15000- 82  L8,RAEX,1968-035A,,
1968 Apr 22 2301:27,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D,F,[Zond-5],L-1 No. 7L,1968-F03,1968-F03,F00466,466,NIIP-5   LC81/24,232-01,NK9810-25,1961-015FC,Moon,
1968 Apr 24 1600:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2A,S,Kosmos-217,I2M,1968-036A,1968-036,S03216,3216,NIIP-5   LC90/20,-,RAEX,1968-036A,,
1968 Apr 25 0045:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,R-36O 8K69,S,Kosmos-218,OGCh No. 17?,1968-037A,1968-037,S03217,3217,NIIP-5   LC162/36,Ya22500 No. 17L,BML,1968-037A,,
1968 Apr 26 0442:56,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,Kosmos-219,DS-U2-D No. 2,1968-038A,1968-038,S03220,3220,GTsP-4   LC86/4,-,AVMDS,1968-038A,,
1968 Apr 3 1100:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-210,Zenit-2 No. 60,1968-024A,1968-024,S03168,3168,NIIP-53  LC41/1,Ya15002- 06,NK96-10-65,1968-024A,,
1968 Apr 4 1200:01,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Saturn V,S,Apollo 6,Apollo CM-020,1968-025A,1968-025,S03170,3170,KSC      LC39A,SA-502,KHR-1,1968-025A,Moon,
1968 Apr 6 0959:42,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas F,S,OV1-13,OV1-13,1968-026A,1968-026,S03173,3173,V        ABRESA2,107F,VCR,1968-026A,,
1968 Apr 7 1009:32,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,S,Luna-14,E-6LS No. 113,1968-027A,1968-027,S03178,3178,NIIP-5   LC1,Ya15000- 58  L5,Petrov71,1968-027A,Moon,
1968 Apr 9 1126:25,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-211,DS-P1-Yu No. 13,1968-028A,1968-028,S03181,3181,NIIP-53  LC133/3,-,AVMDS,1968-028A,,
1968 Aug 10 2233:02,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas SLV-3C Centaur,S,ATS 4,ATS D,1968-068A,1968-068,S03344,3344,CC       LC36A,AC-17,TR-1022,1968-068A,,
1968 Aug 16 1124:33,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Delta N,S,ESSA 7,TOS E,1968-069A,1968-069,S03345,3345,V        SLC2E,528/D58,TR-1022,1968-069A,,
1968 Aug 16 2057:44,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Burner 2,F,UVR,UVR,1968-F07,1968-F07,F00476,476,V        SLC3E,7004,VCR,1961-015FN,,
1968 Aug 22 1516:00,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout B,S,RAM C-2,RAM C-2,1968-U03,1968-U03,A01413,1413,WI       LA3A,S168C,MOR R-730-68-02,1965-047B,,Actually out of Wallops; not sure how error occurred
1968 Aug 27 1129:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Kosmos 11K65,S,Kosmos-236,Strela-2 No. 4,1968-070A,1968-070,S03347,3347,NIIP-5   LC41/15,4000-000-12L,RAEX,1968-070A,,
1968 Aug 27 1229:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-237,Zenit-4 No. 43,1968-071A,1968-071,S03348,3348,NIIP-53  LC41/1,Ya15002- 17,RAEX,1968-071A,,
1968 Aug 28 1000:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511,S,Kosmos-238,Soyuz No. 9,1968-072A,1968-072,S03351,3351,NIIP-5   LC31,V 15000- 13,NK0204-71,1968-072A,,
1968 Aug 6 1108:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas SLV-3A Agena D,S,OPS 2222,CANYON 1,1968-063A,1968-063,S03334,3334,CC       LC13,5501A,Desind,1968-063A,,
1968 Aug 6 1630:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 5187,GAMBIT-3 Mission 4315,1968-064A,1968-064,S03335,3335,V        SLC4W,3B-17,GAMHEX-G2,1968-064A,,
1968 Aug 7 2136:55,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 5955,CORONA CR-4,1968-065A,1968-065,S03336,3336,V        SLC3W,522/FTV 1644,PER,1968-065A,,
1968 Aug 8 2012:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout B,S,Explorer 39,AD-C,1968-066A,1968-066,S03337,3337,V        SLC5,S165C,VCR,1968-066A,,
1968 Aug 9 0700:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-235,Zenit-2 No. 61,1968-067A,1968-067,S03339,3339,NIIP-5   LC31,Ya15002- 07,NK96-10-65,1968-067A,,
1968 Dec 10 0825:01,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-258,Zenit-2 No. 69,1968-111A,1968-111,S03602,3602,NIIP-5   LC31,V 15002-001,NK96-10-65,1968-111A,,
1968 Dec 12 2222:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 4740,CORONA J-50,1968-112A,1968-112,S03604,3604,V        SLC3W,527/FTV 1648,LR681213,1968-112A,,
1968 Dec 14 0509:54,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,Kosmos-259,DS-U2-I No. 3,1968-113A,1968-113,S03612,3612,GTsP-4   LC86/4,-,AVMDS,1968-113A,,
1968 Dec 15 1721:04,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Delta N,S,ESSA 8,TOS F,1968-114A,1968-114,S03615,3615,V        SLC2E,532/D62,TR-1022,1968-114A,,
1968 Dec 16 0915:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,S,Kosmos-260,Molniya-1Yu 11F67 No. 15,1968-115A,1968-115,S03619,3619,NIIP-5   LC1,Ya15000-087? L8,RAEX,1968-115A,,
1968 Dec 19 0032:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta M,S,INTELSAT III F-2,INTELSAT III F-2,1968-116A,1968-116,S03623,3623,CC       LC17A,536/D63,TR-1022,1968-116A,,
