Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,Manufacturer's Payload Name,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,Site,LV S/N,Ref,International Designator,Tag,Data Mismatch Investigation Results
1978 Nov 16 2145:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1048,Strela-2M,1978-105A,1978-105,S11111,11111,NIIP-53  LC132/2,53755-111,RAEX,1978-105A,,
1978 Nov 19 0046:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 2914,S,NATO 3C,NATO 3C,1978-106A,1978-106,S11115,11115,CC       LC17B,634/D146,KHR-1,1978-106A,,
1978 Nov 21 1200:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1049,Zenit-4MKM,1978-107A,1978-107,S11118,11118,NIIP-53  LC43/4,77025  -729,RAEX,1978-107A,,
1978 Nov 28 1620:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1050,Zenit-6,1978-108A,1978-108,S11121,11121,NIIP-53  LC43/4,D 15000-086,RAEX,1978-108A,,
1978 Oct 10 1944:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92M,S,Kosmos-1043,Tselina-D,1978-094A,1978-094,S11055,11055,NIIP-53  LC43/4,76038  -310,RAEX,1978-094A,,
1978 Oct 13 0519:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,Molniya-3,Molniya-3 No. 22,1978-095A,1978-095,S11057,11057,NIIP-53  LC43/3,76038  -511,NK9815-26,1978-095A,,
1978 Oct 13 1123:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas F,S,Tiros-N,Tiros-N,1978-096A,1978-096,S11060,11060,V        SLC3W,29F,NOAA-Hussey79,1978-096A,,
1978 Oct 17 1500:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1044,Zenit-2M,1978-097A,1978-097,S11065,11065,NIIP-53  LC43/4,77025  -125,RAEX,1978-097A,,
1978 Oct 17 1604:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM,F,Ekran,Ekran No. 14L,1978-F04,1978-F04,F00812,812,NIIP-5   LC200/40,298-01,NK9810-25,1964-031A,,
1978 Oct 24 0815:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Delta 2910,S,Nimbus 7,Nimbus G,1978-098A,1978-098,S11080,11080,V        SLC2W,630/D145,KHR-1,1978-098A,,
